S2085 Outline	S2085 Text	Common	S685 Outline	S685 Text
[TITLE I SEC. 101.(a)] SEC. 4695.(d)		treatment, alternative, policies, fees, regulations, established, secretary, foreign, emissions, treated, purposes	[SEC. 3.(a)(1)] SEC. 4695.(d)	TREATMENT OF ALTERNATIVE POLICIES AS FEES.—Under regulations established by the Secretary, foreign policies that have substantially the same effect in reducing emissions of greenhouse gases as fees shall be treated as fees for purposes of subsections (b) and (c).
[TITLE I SEC. 101.(a)] SEC. 4695.(e)	REGULATORY AUTHORITY.—			
[TITLE I SEC. 101.(a)] SEC. 4695.(e)(1)	IN GENERAL.—The Secretary shall consult with the Administrator of the Environmental Protection Agency, the Secretary of Energy, the Secretary of Commerce, and the United States Trade Representative, in establishing rules and regulations implementing the purposes of this section.	secretary, administrator, energy, commerce, trade		any manufactured product which the Secretary, in consultation with the Administrator, the Secretary of Commerce, and the Secretary of Energy, determines is energy-intensive and trade-exposed (with the exception of any covered fuel). (4) COVERED ENTITY.—The term ‘covered entity’ means—
[TITLE I SEC. 101.(a)] SEC. 4695.(e)(1)		secretary, consult, administrator, energy, commerce, establishing, rules, regulations, implementing, purposes	[SEC. 3.(a)(1)] SEC. 4695.(e)(1)	IN GENERAL.—The Secretary shall consult with the Administrator, the Secretary of Commerce, and the Secretary of Energy in establishing rules and regulations implementing the purposes of this section.
[TITLE I SEC. 101.(a)] SEC. 4695.(e)(1)		secretary, administrator, environmental, protection, agency	SEC. 6.(c)(1)	IN GENERAL.—The Secretary, in consultation with the Administrator of the Environmental Protection Agency, shall establish a program to provide payments to eligible producers that will assist with the transition to reducing greenhouse gas emissions through the adoption of qualifying practices described in paragraph (2).
[TITLE I SEC. 101.(a)] SEC. 4695.(e)(1)		secretary, administrator, environmental, protection, agency	SEC. 7.(c)(3)	as determined by the Secretary, in consultation with the Administrator of the Environmental Protection Agency, has been impacted by harmful residuals from a fossil fuel or carbon-intensive industry.
[TITLE I SEC. 101.(a)] SEC. 4695.(e)(1)		secretary, administrator, environmental, protection, agency	SEC. 7.(d)(4)	other activities as the Secretary, in coordination with the Secretary of Labor, the Administrator of the Federal Emergency Management Agency, and the Administrator of the Environmental Protection Agency, determines to be appropriate.
[TITLE I SEC. 101.(a)] SEC. 4695.(e)(1)		administrator, environmental, protection, agency, commerce	SEC. 9.(a)	IN GENERAL.—The Chair of the Council on Environmental Quality, in consultation with the Secretaries of Agriculture, Commerce, and the Interior, the Chief of Engineers, and the Administrator of the Environmental Protection Agency, shall—
[TITLE I SEC. 101.(a)] SEC. 4695.(e)(2)	TREATIES.—The Secretary, in consultation with the Secretary of State, may adjust the applicable amounts of the refunds and equivalency fees under this section in a manner that is consistent with any obligations of the United States under an international agreement, provided that any such adjustment does not undermine the purpose of this section to prevent carbon leakage to foreign countries or result in harm to domestic manufacturers.	secretary, fees, united, states, carbon	[SEC. 3.(a)(1)] SEC. 4695.(b)(1)	CARBON-INTENSIVE PRODUCTS.—In the case of any carbon-intensive product which is exported from the United States, the Secretary shall pay to the person exporting such product a refund equal to the amount of the cost of such product attributable to any fees imposed under this subchapter related to the manufacturing of such product (as determined under regulations established by the Secretary).
[TITLE I SEC. 101.(a)] SEC. 4695.(e)(2)		secretary, equivalency, fees, united, states, carbon	[SEC. 3.(a)(1)] SEC. 4695.(c)(1)(A)	IMPOSITION OF EQUIVALENCY FEE.— In the case of any carbon-intensive product imported into the United States, there is imposed an equivalency fee on the person importing such product in an amount equal to the cost of such product that would be attributable to any fees imposed under this subchapter related to the manufacturing of such product if any inputs or processes used in manufacturing such product were subject to such fees (as determined under regulations established by the Secretary).
[TITLE I SEC. 101.(a)] SEC. 4695.(e)(2)		treaties, secretary, consultation, state, adjust, applicable, amounts, refunds, equivalency, fees, manner, consistent, obligations, united, states, international, agreement	[SEC. 3.(a)(1)] SEC. 4695.(e)(2)	TREATIES.—The Secretary, in consultation with the Secretary of State, may adjust the applicable amounts of the refunds and equivalency fees under this section in a manner that is consistent with any obligations of the United States under an international agreement.’’.
[TITLE I SEC. 101.(a)] SEC. 4696.	DEFINITIONS AND OTHER RULES.			
[TITLE I SEC. 101.(a)] SEC. 4696.(a)	DEFINITIONS.—For purposes of this subchapter:			
[TITLE I SEC. 101.(a)] SEC. 4696.(a)(1)	ASSOCIATED EMISSIONS.—The term ‘associated emissions’ means greenhouse gas emissions attributable to venting, flaring, and leakage across the supply chain or any other incidental process.			
[TITLE I SEC. 101.(a)] SEC. 4696.(a)(2)	CARBON DIOXIDE EQUIVALENT.—			
[TITLE I SEC. 101.(a)] SEC. 4696.(a)(2)(A)	IN GENERAL.—Subject to subparagraph (B), the term ‘carbon dioxide equivalent’ means, with respect to a greenhouse gas, the quantity of such gas that has a global warming potential equivalent to 1 metric ton of carbon dioxide, as determined pursuant to table A–1 of subpart A of part 98 of title 40, Code of Federal Regulations, as in effect on the date of the enactment of the Save Our Future Act.	term, carbon, dioxide, equivalent, greenhouse, gas, global, warming, potential, metric, ton		CARBON DIOXIDE EQUIVALENT OR CO2E.—The term ‘carbon dioxide equivalent’ or ‘CO2-e’ means the number of metric tons of carbon dioxide emissions with the same global warming potential over a 100-year period as one metric ton of another greenhouse gas. (3) CARBON-INTENSIVE PRODUCT.—The term ‘carbon-intensive product’ means—
[TITLE I SEC. 101.(a)] SEC. 4696.(a)(2)(A)		subparagraph, respect, greenhouse, gas, determined		METHODOLOGY.—With respect to any year, the annual greenhouse gas emissions and cumulative emissions described in subparagraph (A) or (B) shall be determined using the methodology required under subsection (e)(4). (e) EMISSIONS TARGETS.—
[TITLE I SEC. 101.(a)] SEC. 4696.(a)(2)(A)		subparagraph, respect, greenhouse, gas, determined	[SEC. 3.(a)(1)] (i)(1)(B)	METHODOLOGY.—For purposes of subparagraph (A), with respect to determining the total amount of greenhouse gas emissions from the use of any covered fuel and noncovered fuel emissions during calendar year 2018, the Administrator shall use such methods as are determined appropriate, provided that such methods are, to the greatest extent practicable, comparable to the methods established under paragraph (4).
[TITLE I SEC. 101.(a)] SEC. 4696.(a)(2)(B)	EXCEPTION.—In the case of methane, the term ‘carbon dioxide equivalent’ means the quantity of methane that has the same global warming potential over a 20-year period as 1 metric ton of carbon dioxide, as determined in accordance with the Fourth Assessment Report of the Intergovernmental Panel on Climate Change.	term, carbon, dioxide, equivalent, global, warming, potential, period, metric, ton		CARBON DIOXIDE EQUIVALENT OR CO2E.—The term ‘carbon dioxide equivalent’ or ‘CO2-e’ means the number of metric tons of carbon dioxide emissions with the same global warming potential over a 100-year period as one metric ton of another greenhouse gas. (3) CARBON-INTENSIVE PRODUCT.—The term ‘carbon-intensive product’ means—
[TITLE I SEC. 101.(a)] SEC. 4696.(a)(2)(B)		case, methane, carbon, dioxide, metric, determined		in the case of any noncovered fuel emissions, the entity which is the source of such emissions, provided that the total amount of carbon dioxide or methane emitted by such entity for the preceding year (as determined using the methodology required under section 4692(e)(4)) was not less than 25,000 metric tons, and (E) any entity or class of entities which, as determined by the Secretary, is transporting, selling, or otherwise using a covered fuel in a manner which emits a greenhouse gas into the atmosphere and which has not been covered by the carbon fee, the fee on noncovered fuel emissions, or the carbon border fee adjustment.
[TITLE I SEC. 101.(a)] SEC. 4696.(a)(3)	COAL.—The term ‘coal’ has the same meaning given such term under section 48A(c)(4).			
[TITLE I SEC. 101.(a)] SEC. 4696.(a)(4)	ENERGY-INTENSIVE MANUFACTURED GOOD.—			
[TITLE I SEC. 101.(a)] SEC. 4696.(a)(4)(A)	IN GENERAL.—The term ‘energy-intensive manufactured good’ means any manufactured good (other than any petroleum product or fossil fuel) for which not less than 5 percent of the cost of which is attributable to energy costs, as determined by the Secretary.	energy, intensive, manufactured, product, fuel, secretary		any manufactured product which the Secretary, in consultation with the Administrator, the Secretary of Commerce, and the Secretary of Energy, determines is energy-intensive and trade-exposed (with the exception of any covered fuel). (4) COVERED ENTITY.—The term ‘covered entity’ means—
[TITLE I SEC. 101.(a)] SEC. 4696.(a)(4)(A)		intensive, product, cost, attributable, determined, secretary	[SEC. 3.(a)(1)] SEC. 4695.(b)(1)	CARBON-INTENSIVE PRODUCTS.—In the case of any carbon-intensive product which is exported from the United States, the Secretary shall pay to the person exporting such product a refund equal to the amount of the cost of such product attributable to any fees imposed under this subchapter related to the manufacturing of such product (as determined under regulations established by the Secretary).
[TITLE I SEC. 101.(a)] SEC. 4696.(a)(4)(A)		intensive, product, cost, attributable, determined, secretary	[SEC. 3.(a)(1)] SEC. 4695.(c)(1)(A)	IMPOSITION OF EQUIVALENCY FEE.— In the case of any carbon-intensive product imported into the United States, there is imposed an equivalency fee on the person importing such product in an amount equal to the cost of such product that would be attributable to any fees imposed under this subchapter related to the manufacturing of such product if any inputs or processes used in manufacturing such product were subject to such fees (as determined under regulations established by the Secretary).
[TITLE I SEC. 101.(a)] SEC. 4696.(a)(4)(A)		intensive, fossil, fuel, determined, secretary	SEC. 7.(c)(3)	as determined by the Secretary, in consultation with the Administrator of the Environmental Protection Agency, has been impacted by harmful residuals from a fossil fuel or carbon-intensive industry.
[TITLE I SEC. 101.(a)] SEC. 4696.(a)(4)(B)	LIST OF ENERGY-INTENSIVE MANUFACTURED GOODS.—			
[TITLE I SEC. 101.(a)] SEC. 4696.(a)(4)(B)(i)	INITIAL LIST.—Not later than 180 days after the date of the enactment of this Act, the Secretary shall publish a list of goods which qualify as energy-intensive manufactured goods.			
[TITLE I SEC. 101.(a)] SEC. 4696.(a)(4)(B)(ii)	UPDATES.—Not less frequently than annually, the Secretary shall update the list published under this subparagraph.			
[TITLE I SEC. 101.(a)] SEC. 4696.(a)(5)	GREENHOUSE GAS.—The term ‘greenhouse gas’ has the meaning given such term under section 211(o)(1)(G) of the Clean Air Act, as in effect on the date of the enactment of the Save Our Future Act.			
[TITLE I SEC. 101.(a)] SEC. 4696.(a)(6)	NATURAL GAS.—The term ‘natural gas’ means—			
[TITLE I SEC. 101.(a)] SEC. 4696.(a)(6)(A)	any product described in section 613A(e)(2), and			
[TITLE I SEC. 101.(a)] SEC. 4696.(a)(6)(B)	any natural gas liquids produced during natural gas extraction, including ethane, propane, normal butane, isobutene, pentanes, and other hydrocarbons.			
[TITLE I SEC. 101.(a)] SEC. 4696.(a)(7)	PETROLEUM PRODUCT.—The term ‘petroleum product’ has the same meaning given such product under section 4612(a)(3) and shall include any natural gas liquids produced during crude oil extraction, including ethane, propane, normal butane, isobutene, pentanes, and other hydrocarbons.	product, term, natural, gas, crude, oil		COVERED FUEL.—The term ‘covered fuel’ means crude oil, natural gas, coal, or any other product derived from crude oil, natural gas, or coal which shall be used so as to emit greenhouse gases to the atmosphere. (6) GREENHOUSE GAS.—The term ‘greenhouse gas’—
[TITLE I SEC. 101.(a)] SEC. 4696.(a)(8)	SINGLE-USE PLASTIC PRODUCT.—The term ‘single-use plastic product’ means any plastic product that is routinely disposed of after a single use (including plastic packaging, film, cups, cutlery, straws, and bags), unless such product is designed to be used solely for medical purposes.			
[TITLE I SEC. 101.(a)] SEC. 4696.(a)(9)	SUPPLY CHAIN.—The term ‘supply chain’ means extraction and processing of coal and natural gas, extraction and refining of petroleum products, and the transmission, transport, storage, distribution, import, export, and other activities related to supplying coal, petroleum products, and natural gas to a consumer, not otherwise covered elsewhere in this subchapter as determined by the Administrator of the Environmental Protection Agency.	term, administrator, environmental, protection, agency		ADMINISTRATOR.—The term ‘Administrator’ means the Administrator of the Environmental Protection Agency. (2) CARBON DIOXIDE EQUIVALENT OR CO2E.—The term ‘carbon dioxide equivalent’ or ‘CO2-e’ means the number of metric tons of carbon dioxide emissions with the same global warming potential over a 100-year period as one metric ton of another greenhouse gas.
[TITLE I SEC. 101.(a)] SEC. 4696.(a)(9)		term, coal, natural, gas, covered		COVERED FUEL.—The term ‘covered fuel’ means crude oil, natural gas, coal, or any other product derived from crude oil, natural gas, or coal which shall be used so as to emit greenhouse gases to the atmosphere. (6) GREENHOUSE GAS.—The term ‘greenhouse gas’—
[TITLE I SEC. 101.(a)] SEC. 4696.(a)(9)		gas, administrator, environmental, protection, agency	SEC. 6.(c)(1)	IN GENERAL.—The Secretary, in consultation with the Administrator of the Environmental Protection Agency, shall establish a program to provide payments to eligible producers that will assist with the transition to reducing greenhouse gas emissions through the adoption of qualifying practices described in paragraph (2).
[TITLE I SEC. 101.(a)] SEC. 4696.(a)(9)		natural, related, determined, administrator, agency	SEC. 7.(c)(2)	as determined by the Secretary, in consultation with the Administrator of the Federal Emergency Management Agency, has been or is at risk of being impacted by extreme weather events, sea level rise, and natural disasters related to climate change; or
[TITLE I SEC. 101.(a)] SEC. 4696.(a)(9)		determined, administrator, environmental, protection, agency	SEC. 7.(c)(3)	as determined by the Secretary, in consultation with the Administrator of the Environmental Protection Agency, has been impacted by harmful residuals from a fossil fuel or carbon-intensive industry.
[TITLE I SEC. 101.(a)] SEC. 4696.(a)(9)		activities, administrator, environmental, protection, agency	SEC. 7.(d)(4)	other activities as the Secretary, in coordination with the Secretary of Labor, the Administrator of the Federal Emergency Management Agency, and the Administrator of the Environmental Protection Agency, determines to be appropriate.
[TITLE I SEC. 101.(a)] SEC. 4696.(a)(10)	TON.—			
[TITLE I SEC. 101.(a)] SEC. 4696.(a)(10)(A)	IN GENERAL.—The term ‘ton’ means 1,000 kilograms. In the case of any greenhouse gas which is a gas, the term ‘ton’ means the amount of such gas in cubic meters which is the equivalent of 1,000 kilograms on a molecular weight basis.	term, ton, greenhouse, gas, equivalent		CARBON DIOXIDE EQUIVALENT OR CO2E.—The term ‘carbon dioxide equivalent’ or ‘CO2-e’ means the number of metric tons of carbon dioxide emissions with the same global warming potential over a 100-year period as one metric ton of another greenhouse gas. (3) CARBON-INTENSIVE PRODUCT.—The term ‘carbon-intensive product’ means—
[TITLE I SEC. 101.(a)] SEC. 4696.(a)(10)(B)	FRACTIONAL PART OF TON.—In the case of a fraction of a ton, any fee imposed by this subchapter on such fraction shall be the same fraction of the amount of such fee imposed on a whole ton.			
[TITLE I SEC. 101.(a)] SEC. 4696.(a)(11)	UNITED STATES.—The term ‘United States’ has the meaning given such term by section 4612(a)(4).			
[TITLE I SEC. 101.(a)] SEC. 4696.(b)	OTHER RULES.—			
[TITLE I SEC. 101.(a)] SEC. 4696.(b)(1)	ASSESSMENT AND COLLECTION.—Payment of the fee imposed by sections 4691, 4692, and 4693 shall be assessed and collected in the same manner as taxes under this subtitle.			
[TITLE I SEC. 101.(a)] SEC. 4696.(b)(2)	REGULATIONS.—The Secretary shall prescribe such regulations as may be necessary to carry out the provisions of this subchapter.’’.	regulations, secretary, prescribe, necessary, carry	SEC. 5.(h)	REGULATIONS.—The Secretary shall prescribe such regulations, and other guidance, as may be necessary to carry out the purposes of this section, including—
TITLE I SEC. 101.(b)	CLERICAL AMENDMENT.—The table of subchapters for chapter 38 of the Internal Revenue Code of 1986 is amended by adding at the end the following new item:	internal, revenue, code, amended, adding, new	SEC. 3.(a)	IN GENERAL.—Chapter 38 of subtitle D of the Internal Revenue Code of 1986 is amended by adding at the end the following new subchapter: ‘‘Subchapter E—Carbon Fee
TITLE I SEC. 101.(b)		internal, revenue, code, amended, adding	SEC. 4.(a)	IN GENERAL.—Subchapter A of chapter 98 of the Internal Revenue Code of 1986 is amended by adding at the end the following:
TITLE I SEC. 101.(b)		clerical, amendment, table, internal, revenue, code, amended, adding, new	SEC. 4.(b)	CLERICAL AMENDMENT.—The table of sections for subchapter A of chapter 98 of the Internal Revenue Code of 1986 is amended by adding at the end the following new item:
TITLE I SEC. 101.(b)		internal, revenue, code, amended, adding, new	SEC. 5.(g)	DISCLOSURE OF RETURN INFORMATION.—Section 6103(l) of the Internal Revenue Code of 1986 is amended by adding at the end the following new paragraph:
TITLE I SEC. 101.(c)	EFFECTIVE DATE.—The amendments made by this section shall apply to periods beginning after December 31, 2022.	effective, apply, periods, beginning, december	SEC. 3.(b)	EFFECTIVE DATE.—The amendment made by this section shall apply to periods beginning after December 31, 2022.
TITLE I SEC. 102.	FEES ON CRITERIA AIR POLLUTANTS.			
TITLE I SEC. 102.(a)	DEFINITIONS.—In this section:			
TITLE I SEC. 102.(a)(1)	ADMINISTRATOR.—The term ‘‘Administrator’’ means Administrator of the Environmental Protection Agency.	administrator, term, environmental, protection, agency		ADMINISTRATOR.—The term ‘Administrator’ means the Administrator of the Environmental Protection Agency. (2) CARBON DIOXIDE EQUIVALENT OR CO2E.—The term ‘carbon dioxide equivalent’ or ‘CO2-e’ means the number of metric tons of carbon dioxide emissions with the same global warming potential over a 100-year period as one metric ton of another greenhouse gas.
TITLE I SEC. 102.(a)(2)	COMMUNITY OF COLOR.—The term ‘‘community of color’’ means a census tract in which the population of any of the following categories of individuals is higher than the average population of that category for the State in which the census tract is located, or in which the cumulative population of 2 or more of the following categories is higher than the State average population of those 2 or more categories:	community, term, population, categories, individuals, average, category, state, located	SEC. 2.(e)(1)(A)	COMMUNITY OF COLOR.—The term ‘‘community of color’’ means a geographically distinct area in which the population of any of the following categories of individuals is higher than the average population of that category for the State in which the community is located:
TITLE I SEC. 102.(a)(2)		community, term, census, population, individuals	SEC. 2.(e)(1)(G)	LOW-INCOME COMMUNITY.—The term ‘‘low-income community’’ means any census block group in which 30 percent or more of the population are individuals with an annual household income equal to, or less than, the greater of—
TITLE I SEC. 102.(a)(2)(A)	Black.			
TITLE I SEC. 102.(a)(2)(B)	African American.			
TITLE I SEC. 102.(a)(2)(C)	Asian.			
TITLE I SEC. 102.(a)(2)(D)	Native American.			
TITLE I SEC. 102.(a)(2)(E)	Other non-White race.			
TITLE I SEC. 102.(a)(2)(F)	Hispanic.			
TITLE I SEC. 102.(a)(2)(G)	Latino.			
TITLE I SEC. 102.(a)(2)(H)	Linguistically isolated.			
TITLE I SEC. 102.(a)(3)	CRITERIA AIR POLLUTANT.—The term ‘‘criteria air pollutant’’ is within the meaning of the Clean Air Act (42 U.S.C. 7401 et seq.).			
TITLE I SEC. 102.(a)(4)	ENVIRONMENTAL JUSTICE COMMUNITY.— The term ‘‘environmental justice community’’ means—			
TITLE I SEC. 102.(a)(4)(A)	a community of color;			
TITLE I SEC. 102.(a)(4)(B)	a low-income community; and			
TITLE I SEC. 102.(a)(4)(C)	a Tribal or indigenous community.			
TITLE I SEC. 102.(a)(5)	INDIAN TRIBE.—The term ‘‘Indian Tribe’’ has the meaning given the term in section 4 of the Indian Self-Determination and Education Assistance Act (25 U.S.C. 5304).	indian, tribe, term, meaning, determination, education, assistance, act, u.s.c	SEC. 2.(e)(1)(F)	INDIAN TRIBE.—The term ‘‘Indian Tribe’’ has the meaning given the term in section 4 of the Indian Self-Determination and Education Assistance Act (25 U.S.C. 5304).
TITLE I SEC. 102.(a)(5)		indian, determination, education, assistance, act, u.s.c	SEC. 5.(i)	PUBLIC AWARENESS CAMPAIGN.—The Secretary shall conduct a public awareness campaign, in coordination with the Commissioner of Social Security, the heads of other relevant Federal agencies, and Indian Tribes (as defined in section 4 of the Indian Self-Determination and Education Assistance Act (25 U.S.C. 5304)), to provide information to the public regarding the availability of carbon fee rebate payments under this section.
TITLE I SEC. 102.(a)(5)		indian, tribe, term, meaning, determination, education, assistance, act, u.s.c	SEC. 7.(a)(1)	INDIAN TRIBE.—The term ‘‘Indian Tribe’’ has the meaning given the term in section 4 of the Indian Self-Determination and Education Assistance Act (25 U.S.C. 5304).
TITLE I SEC. 102.(a)(5)		term, meaning, education, act, u.s.c	SEC. 7.(a)(3)	INSTITUTION OF HIGHER EDUCATION.—The term ‘‘institution of higher education’’ has the meaning given the term in section 101 of the Higher Education Act of 1965 (20 U.S.C. 1001).
TITLE I SEC. 102.(a)(6)	LOW-INCOME COMMUNITY.—The term ‘‘lowincome community’’ means a census tract in which—			
TITLE I SEC. 102.(a)(6)(A)	the poverty rate is at least 20 percent; or			
TITLE I SEC. 102.(a)(6)(B)	the median family income does not exceed—			
TITLE I SEC. 102.(a)(6)(B)(i)	if the census tract is not located within a metropolitan area, 80 percent of the statewide median income; or			
TITLE I SEC. 102.(a)(6)(B)(ii)	if the census tract is located within a metropolitan area, 80 percent of the greater of—			
TITLE I SEC. 102.(a)(6)(B)(ii)(I)	the statewide median income; and			
TITLE I SEC. 102.(a)(6)(B)(ii)(II)	the median income of the metropolitan area.			
TITLE I SEC. 102.(a)(7)	MAJOR SOURCE.—The term ‘‘major source’’ has the meaning given the term in section 501 of the Clean Air Act (42 U.S.C. 7661).			
TITLE I SEC. 102.(a)(8)	NATIVE AMERICAN.—The term ‘‘Native American’’ means—			
TITLE I SEC. 102.(a)(8)(A)	an Indian (as defined in section 4 of the Indian Self-Determination and Education Assistance Act (25 U.S.C. 5304));	indian, determination, education, assistance, act, u.s.c	SEC. 2.(e)(1)(F)	INDIAN TRIBE.—The term ‘‘Indian Tribe’’ has the meaning given the term in section 4 of the Indian Self-Determination and Education Assistance Act (25 U.S.C. 5304).
TITLE I SEC. 102.(a)(8)(A)		indian, defined, determination, education, assistance, act, u.s.c	SEC. 5.(i)	PUBLIC AWARENESS CAMPAIGN.—The Secretary shall conduct a public awareness campaign, in coordination with the Commissioner of Social Security, the heads of other relevant Federal agencies, and Indian Tribes (as defined in section 4 of the Indian Self-Determination and Education Assistance Act (25 U.S.C. 5304)), to provide information to the public regarding the availability of carbon fee rebate payments under this section.
TITLE I SEC. 102.(a)(8)(A)		indian, determination, education, assistance, act, u.s.c	SEC. 7.(a)(1)	INDIAN TRIBE.—The term ‘‘Indian Tribe’’ has the meaning given the term in section 4 of the Indian Self-Determination and Education Assistance Act (25 U.S.C. 5304).
TITLE I SEC. 102.(a)(8)(B)	a native Hawaiian (as defined in section 201(a) of the Hawaiian Homes Commission Act, 1920 (42 Stat. 108, chapter 42));			
TITLE I SEC. 102.(a)(8)(C)	a Native (as defined in section 3 of the Alaska Native Claims Settlement Act (43 U.S.C. 1602)); and			
TITLE I SEC. 102.(a)(8)(D)	a Native American Pacific Islander (as defined in section 815 of the Native American Programs Act of 1974 (42 U.S.C. 2992c)).			
TITLE I SEC. 102.(a)(9)	SECRETARY.—The term ‘‘Secretary’’ means the Secretary of the Treasury.			
TITLE I SEC. 102.(a)(10)	TRIBAL OR INDIGENOUS COMMUNITY.— The term ‘‘Tribal or indigenous community’’ refers to a population of individuals who are members of—			
TITLE I SEC. 102.(a)(10)(A)	an Indian Tribe;			
TITLE I SEC. 102.(a)(10)(B)	an Alaska Native or Native Hawaiian community or organization; or			
TITLE I SEC. 102.(a)(10)(C)	any other community of indigenous people located in a State.			
TITLE I SEC. 102.(b)	MONITORING REQUIREMENT.—Beginning on January 1, 2023, the owner or operator of each major source shall ensure that the major source has continuous emission monitoring systems installed that are capable of volumetric monitoring of all emissions of criteria air pollutants from smoke stacks and exhaust outlets of the major source.			
TITLE I SEC. 102.(c)	REPORTING REQUIREMENT.—			
TITLE I SEC. 102.(c)(1)	MAJOR SOURCES.—			
TITLE I SEC. 102.(c)(1)(A)	IN GENERAL.—The owner or operator of each major source shall submit to the Administrator on a monthly basis all data collected by the continuous emission monitoring system for that major source required under subsection (b) with respect to each criteria air pollutant.			
TITLE I SEC. 102.(c)(1)(B)	CERTIFICATION.—When submitting data under subparagraph (A), the owner or operator shall certify to the Administrator that the data being submitted are correct.			
TITLE I SEC. 102.(c)(1)(C)	CIVIL PENALTY.—			
TITLE I SEC. 102.(c)(1)(C)(i)	FAILURE TO REPORT.—An owner or operator that is required to submit data under subparagraph (A) for a month that fails to do so by the 5th day of the month after the month for which data are required to be submitted shall be assessed a fine of $20,000 for each day until the required data are submitted.			
TITLE I SEC. 102.(c)(1)(C)(ii)	FALSE DATA.—An owner or operator that is required to submit data under subparagraph (A) for a month that knowingly submits to the Administrator false data shall be assessed a fine of $10,000,000.			
TITLE I SEC. 102.(c)(2)	PUBLIC AVAILABILITY.—Not later than 30 days after the date on which the Administrator receives data submitted under paragraph (1), the Administrator shall make the data publicly available on a website of the Administrator.			
TITLE I SEC. 102.(c)(3)	TRANSFER OF DATA.—The Administrator shall transfer the data submitted under paragraph (1) to the Secretary for the purpose of carrying out subsection (d).			
	to the Secretary for the purpose of carrying out subsection (d).			
TITLE I SEC. 102.(d)	ANNUAL EMISSIONS FEE.—			
TITLE I SEC. 102.(d)(1)	IN GENERAL.—Beginning in calendar year 2024, the Secretary shall assess from the owner or operator of each major source within an environmental justice community or within 1 mile of an environmental justice community an annual emissions fee.			
TITLE I SEC. 102.(d)(2)	FEE AMOUNT.—Subject to paragraph (3), the annual emissions fee for a major source under paragraph (1) shall be in an amount equal to the sum of—			
TITLE I SEC. 102.(d)(2)(A)	the amount obtained by multiplying—			
TITLE I SEC. 102.(d)(2)(A)(i)	the quantity, in pounds, of oxides of nitrogen emitted by the major source during the previous calendar year, as determined using the data submitted to the Administrator under subsection (c); and			
TITLE I SEC. 102.(d)(2)(A)(ii)	$6.30;			
TITLE I SEC. 102.(d)(2)(B)	the amount obtained by multiplying—			
TITLE I SEC. 102.(d)(2)(B)(i)	the quantity, in pounds, of PM2.5 emitted by the major source during the previous calendar year, as determined using the data submitted to the Administrator under subsection (c); and			
TITLE I SEC. 102.(d)(2)(B)(ii)	$38.90; and			
TITLE I SEC. 102.(d)(2)(C)	the amount obtained by multiplying—			
TITLE I SEC. 102.(d)(2)(C)(i)	the quantity, in pounds, of sulfur dioxide emitted by the major source during the previous calendar year, as determined using the data submitted to the Administrator under subsection (c); and			
TITLE I SEC. 102.(d)(2)(C)(ii)	$18.00.			
TITLE I SEC. 102.(d)(3)	INFLATION ADJUSTMENT.—Beginning in calendar year 2025 and for each calendar year thereafter, the Secretary shall adjust the amounts described in subparagraphs (A)(ii), (B)(ii), and (C)(ii) of paragraph (2) to reflect changes for the 12-month period ending the preceding November 30 in the Consumer Price Index for All Urban Consumers published by the Bureau of Labor Statistics of the Department of Labor.			
	(ii) of paragraph (2) to reflect changes for the 12-month period ending the preceding November 30 in the Consumer Price Index for All Urban Consumers published by the Bureau of Labor Statistics of the Department of Labor.			
TITLE I SEC. 102.(e)	REPORT.—Not later than January 1, 2028, the Secretary, in conjunction with the Administrator, shall submit to Congress and make public a report that assesses the effect of this Act, and the amendments made by this Act, on—			
TITLE I SEC. 102.(e)(1)	greenhouse gas emissions;			
TITLE I SEC. 102.(e)(2)	emissions of criteria air pollutants; and			
TITLE I SEC. 102.(e)(3)	public health, with a particular emphasis on evaluating the effects on air quality in environmental justice communities.	health, effects, environmental, justice, communities	SEC. 2.(e)(1)(E)	ENVIRONMENTAL JUSTICE COMMUNITY.—The term ‘‘environmental justice community’’ means a community with significant representation of communities of color, low-income communities, or Tribal and indigenous communities that experiences, or is at risk of experiencing, higher or more adverse human health or environmental effects.
TITLE II	—RETURNING FEE REVENUE TO THE AMERICAN PEOPLE			
TITLE II SEC. 201.	FEE REVENUE REBATES TO INDIVIDUALS.			
TITLE II SEC. 201.(a)	IN GENERAL.—Subchapter B of chapter 65 of the Internal Revenue Code of 1986 is amended by inserting after section 6428B the following new section:	internal, revenue, code, amended, new	SEC. 3.(a)	IN GENERAL.—Chapter 38 of subtitle D of the Internal Revenue Code of 1986 is amended by adding at the end the following new subchapter: ‘‘Subchapter E—Carbon Fee
TITLE II SEC. 201.(a)		internal, revenue, code, amended, new	SEC. 4.(b)	CLERICAL AMENDMENT.—The table of sections for subchapter A of chapter 98 of the Internal Revenue Code of 1986 is amended by adding at the end the following new item:
TITLE II SEC. 201.(a)		internal, revenue, code, amended, new	SEC. 5.(g)	DISCLOSURE OF RETURN INFORMATION.—Section 6103(l) of the Internal Revenue Code of 1986 is amended by adding at the end the following new paragraph:
[TITLE II SEC. 201.(a)] SEC. 6428	C. FEE REVENUE REBATES TO INDIVIDUALS.			
